"Lat","Lon","Id","Number","Cells__global_id","Cells__Name","Cells__IsNetObject","Cells__OperatingCompany","Cells__AdmArea","Cells__District","Cells__Address","Cells__PublicPhone__PublicPhone","Cells__SeatsCount","Cells__SocialPrivileges","Cells__Longitude_WGS84","Cells__Latitude_WGS84"
"55.748271222734353","37.583487406786993","c57682a7-0ee4-496d-9cfb-023da267ac00","373","20736548","ДЖОН БУЛЛ ПАБ","нет","null","Центральный административный округ","район Арбат","Карманицкий переулок, дом 9","(495) 241-06-44","80","нет","37.5834874067869930","55.7482712227343530"
"55.747369762863258","37.588484818637255","c6105a1c-0bda-4926-8ee8-869e0d615cc1","374","20736551","ПЛОТНИКОВ ПАБ","нет","null","Центральный административный округ","район Арбат","Плотников переулок, дом 20/21","(495) 241-62-02","90","нет","37.5884848186372550","55.7473697628632580"
"55.746777393898967","37.599012868371034","7bb3cc0e-6a14-4604-a151-888fd12e1840","375","20736626","Винный кофейный бар 45","нет","null","Центральный административный округ","район Хамовники","Гоголевский бульвар, дом 17, строение 1","(495) 697-79-89","20","нет","37.5990128683710340","55.7467773938989670"
"55.7417244738958","37.6165354090692","2605a544-9145-408b-816e-696250c1f72b","376","20736632","САЛЛИ О БРАЙЕНС","нет","null","Центральный административный округ","район Якиманка","улица Большая Полянка, дом 1/3","(495) 959-01-82","46","нет","37.6165354090692000","55.7417244738958000"
"55.751826873638031","37.596499349076268","91ba7ae1-d34e-429f-854b-5551aab31615","377","20736679","ПИВНОЙ ЗАЛ ЖИГУЛИ","нет","null","Центральный административный округ","район Арбат","улица Новый Арбат, дом 11, строение 2","(495) 691-41-44","100","нет","37.5964993490762680","55.7518268736380310"
"55.7944963638262","37.70583361605","7fcb0440-3156-40d1-9577-2455c03558ab","378","20736684","Lock Stock","нет","null","Восточный административный округ","район Преображенское","Преображенская улица, дом 2","(495) 964-33-01","70","нет","37.7058336160500000","55.7944963638262000"
"55.75194504895255","37.588546006697669","dc67eba8-6488-429a-a78a-dfc45fc4b914","379","20736718","Честерфилд","нет","null","Центральный административный округ","район Арбат","улица Новый Арбат, дом 19","(495) 697-47-07","150","нет","37.5885460066976690","55.7519450489525500"
"55.770130284219661","37.596774557163712","f7e4fead-bd6f-4b3d-a72b-32e6c7952e05","380","20736861","PIVBAR","нет","null","Центральный административный округ","Тверской район","1-я Тверская-Ямская улица, дом 2, строение 1","(495) 343-08-56","48","нет","37.5967745571637120","55.7701302842196610"
"55.7831478348864","37.7359410749507","8e67d1f5-6112-45d8-8831-6ed9027927c4","381","20736919","Территория","да","Территория","Восточный административный округ","район Соколиная Гора","Щербаковская улица, дом 53, корпус 1","(919) 965-95-60","15","нет","37.7359410749507000","55.7831478348864000"
"55.749523671027887","37.645089633540408","5d4b0401-ef7f-4d82-933c-d0ad272d479e","382","20737755","Клуб ДИЧ","нет","null","Центральный административный округ","Таганский район","Яузская улица, дом 5","(916) 366-45-47","5","нет","37.6450896335404080","55.7495236710278870"
